SamplingOperations_code,IBD_pred
S05235850_20070709,19.517253208961193
S05113000_20070723,9.201383923061075
S05111500_20070724,11.163670902898874
S05082000_20070724,13.869152398578148
S05025600_20070725,11.474571339828158
S05086000_20070725,14.151013658404832
S05030000_20070725,14.370763065444468
S05035200_20070726,19.30900477864791
S05048000_20070726,15.80328863247987
S05153950_20070727,14.74577063249574
S05191000_20070727,13.657894198603119
S05225100_20070727,15.058284628284293
S05077950_20070727,12.011646613974673
S05041000_20070728,14.139920635055923
S02115725_20070730,16.136816508720823
S02115660_20070730,17.73163926655108
S02115800_20070731,15.59510680832253
S05192320_20070731,19.49062817088131
S05089090_20070801,17.84264565811211
S05230500_20070801,19.17211018330603
S05214320_20070801,10.258374572166707
S02106430_20070801,14.823729276024087
S02124000_20070801,14.142758269393788
S02115675_20070802,14.40356633299693
S05220920_20070802,16.136293393897283
S05206000_20070802,20.310612505601227
S02115685_20070802,16.597889729051715
S05204200_20070802,19.14874451509478
S05111000_20070802,16.52103899356583
S05200050_20070803,18.417658825160103
S05164000_20070803,11.304038316066016
S05174000_20070803,13.766194077891054
S02041750_20070804,12.55337142654024
S05145410_20070806,16.817306641981148
S05165255_20070806,13.62372560434691
S05176000_20070806,15.158531006511277
S05175800_20070806,15.71215382300724
S05026000_20070807,11.562195952473804
S05181600_20070807,19.681114012993476
S05181000_20070807,20.22220683619077
S02032000_20070807,13.519979199180561
S02017000_20070808,13.283897722546609
S05173150_20070808,19.63725136247303
S05167450_20070809,10.894805870610023
S05167950_20070809,7.510688766067021
S05171900_20070810,19.699305856171918
S05068020_20070814,16.56726175342893
S05130000_20070814,12.377420642238006
S05159000_20070814,11.37128282467608
S05093300_20070815,14.514006259309374
S02094920_20070821,14.96325138342554
S05142100_20070823,15.449741282880433
S05140000_20070824,18.93337343734632
S05135100_20070824,15.754114933087665
S05120085_20070825,15.202975745572266
S05131200_20070825,12.021355068624862
S05132000_20070825,10.768731490121265
S05122000_20070826,14.245788250641736
S02059500_20070827,13.095083872597145
S05022450_20070828,16.71700099896688
S02070000_20070829,10.312437414734655
S02057000_20070829,10.839064287414441
S05000150_20070830,14.131697730977557
S05013100_20070830,15.917047779118441
S02067400_20070830,14.374468915188574
S05001600_20070830,13.430883719185772
S02085600_20070831,10.166235922577007
S02085325_20070831,9.153722966418538
S02079000_20070831,11.16534473736167
S02088000_20070903,12.600148752237939
S05053100_20070904,17.868832829658956
S02110600_20070904,16.545643766330986
S05053000_20070905,14.957795652567192
S05090050_20070905,13.826851583491607
S05055950_20070905,16.55264010279332
S02001500_20070907,16.606918732274895
S05129070_20070907,14.438522363062358
S05119080_20070909,15.969101258802397
S02044000_20070910,12.768651048896848
S06580839_20080304,20.230570009135192
S06168250_20080623,15.27433809390869
S06300072_20080625,11.486158935170291
S06580150_20080702,14.795078648110152
S06580816_20080702,15.343049588710036
S06185500_20080702,15.40385022457438
S05121000_20080707,8.966089567432617
S06187100_20080707,16.610985588766308
S05133100_20080708,18.062653907643572
S06175500_20080708,18.888003660681324
S06830800_20080709,13.16389644692691
S06222390_20080709,12.397586323347209
S05134000_20080709,11.175420131260006
S05137000_20080709,19.55277872309241
S05134310_20080709,14.001167607124604
S06183850_20080709,9.621392707784855
S06179200_20080709,14.239958366719925
S05154500_20080710,14.619822499063133
S06178935_20080710,16.75141499351907
S05117000_20080710,10.333405801761296
S05117500_20080711,15.693525880035251
S06425800_20080716,14.566660278515975
S06108000_20080716,20.07206194127764
S06044900_20080718,11.47535824998358
S06020500_20080719,19.497944826197433
S06129550_20080721,14.426809629841038
S06084360_20080721,19.091478320487127
S06183900_20080722,15.535255226419494
S06183800_20080722,16.20044020181387
S06130500_20080722,17.320240701132626
S05060000_20080722,15.186140682221161
S05049950_20080722,18.35806530284239
S06006550_20080723,15.799517675300136
S05045250_20080723,15.00614316241096
S05046000_20080723,15.47816464681893
S02107870_20080723,16.65994902315694
S05033500_20080724,14.756969461987701
S06097000_20080724,4.812440207564508
S05107000_20080724,13.128477281694941
S05022000_20080725,13.140770230064449
S05111650_20080725,15.629806236549527
S05003000_20080726,13.734456525657711
S05191200_20080727,15.079545096114119
S05074000_20080727,13.621330080140279
S05081000_20080728,12.23766927272042
S02093100_20080729,12.414308580194454
S05096100_20080729,18.400417578020345
S05228500_20080729,13.909050020133735
S05132600_20080729,14.474671869902426
S06710030_20080729,18.694811371686075
S05112210_20080729,16.013046368080765
S05149600_20080729,16.75991174767822
S02115725_20080729,16.55638014325162
S06003945_20080730,15.418133231097594
S06003805_20080730,15.501390397766311
S02123000_20080730,14.637448720183258
S05217150_20080730,18.820982168215703
S02106600_20080730,8.468781256427597
S06117580_20080730,16.96469581077223
S02115775_20080730,14.318687248529532
S06179800_20080730,16.325894393074208
S05148150_20080730,20.04306710326438
S05145900_20080730,18.945910975889614
S05089080_20080731,19.623852785327728
S06411350_20080731,14.264481991134984
S02116500_20080731,18.91395073647226
S05183000_20080731,20.383648325181
