SamplingOperations_code,IBD_pred_corr
S05235850_20070709,20.0
S05113000_20070723,8.558725807867882
S05082000_20070724,14.376057047344553
S05111500_20070724,10.407555350856859
S05086000_20070725,14.643012421091035
S05030000_20070725,14.767799117316303
S05025600_20070725,11.274235530878414
S05048000_20070726,15.716082928774716
S05035200_20070726,19.31891827673003
S05077950_20070727,13.345490459850096
S05111620_20070727,15.360147041096948
S05191000_20070727,12.023101508098284
S05153950_20070727,15.596655837352762
S05225100_20070727,13.541934741118006
S05031850_20070728,16.12491814574931
S05041000_20070728,14.103156908646115
S02115660_20070730,18.755466615596365
S02115725_20070730,16.376883633002247
S05192320_20070731,19.26049526255366
S02115800_20070731,15.338321237403434
S02106430_20070801,15.041264935279559
S02124000_20070801,12.861585195523801
S05214320_20070801,9.626826297601081
S05089090_20070801,17.370406896305614
S05230500_20070801,18.498874868770862
S05109020_20070802,15.484476648978564
S05111000_20070802,17.854741695630015
S02115685_20070802,16.182717225424348
S02115675_20070802,13.864496890361082
S05220920_20070802,15.144181183032899
S05204200_20070802,19.750279675170646
S05206000_20070802,20.046429422096853
S05174000_20070803,13.935320890705476
S05151000_20070803,19.396700781596092
S05200050_20070803,18.479626233255434
S05164000_20070803,10.712129994274182
S02041750_20070804,11.559418715115026
S05165255_20070806,12.502517531264125
S05176000_20070806,15.176987886489556
S05175800_20070806,16.372579801117958
S05145410_20070806,18.77027259520233
S05181600_20070807,19.000690538279656
S05181000_20070807,20.005545314206245
S02032000_20070807,14.37438752812629
S05076000_20070807,11.095003810279664
S05026000_20070807,9.980383228941864
S02017000_20070808,14.331069435331607
S05173150_20070808,20.000092767642954
S05167950_20070809,7.368019418646963
S05167450_20070809,11.201694027279883
S05171900_20070810,19.772156926238495
S05096050_20070811,16.480764486295477
S05158150_20070813,14.490974344136275
S05145300_20070813,18.805037211634037
S05156950_20070814,11.167561377681643
S05159000_20070814,11.552708190100923
S05130000_20070814,13.170560420526975
S05068020_20070814,14.954759192353903
S05093300_20070815,15.29180080990966
S02094920_20070821,15.20762791585337
S05142100_20070823,15.182230975676235
S05135100_20070824,15.807026903972737
S05140000_20070824,18.672530277077012
S05135000_20070824,18.444418448246005
S05132000_20070825,12.64473085401103
S05125000_20070825,15.630458989005044
S05124000_20070825,14.356072575964122
S05131200_20070825,12.068336219762733
S05123000_20070825,11.644172048190809
S05120085_20070825,15.466445545977308
S05122000_20070826,14.251531813797989
S02059500_20070827,12.769741853709512
S05022450_20070828,17.356304033308586
S05015100_20070828,15.020124319372023
S02057000_20070829,12.438666090441837
S02070000_20070829,10.826583102121429
S05013100_20070830,15.141894016757254
S02067400_20070830,13.580040160373532
S05001600_20070830,13.060779692849831
S05000150_20070830,15.103467423242693
S02085325_20070831,10.183337385171818
S02085600_20070831,8.252158380087927
S02079000_20070831,7.737587123160386
S02088000_20070903,8.838365753066332
S05230990_20070903,9.249658357515425
S05223130_20070903,10.278609163198462
S05226030_20070903,13.684062989409565
S05223160_20070903,12.944026142170749
