SamplingOperations_code,IBD_EQR_Status
S05235850_20070709,20.827336927644513
S05113000_20070723,8.540428540331622
S05082000_20070724,14.223011991008594
S05111500_20070724,10.607185376245173
S05086000_20070725,14.844716754622034
S05030000_20070725,14.504957073189333
S05025600_20070725,11.470115172427548
S05048000_20070726,15.442946082679141
S05035200_20070726,19.07037866839567
S05077950_20070727,12.978345057049516
S05111620_20070727,15.493013012501295
S05191000_20070727,12.674185744426762
S05153950_20070727,15.694797839841852
S05225100_20070727,13.574878665484018
S05031850_20070728,16.26551814716666
S05041000_20070728,14.164578308069354
S02115660_20070730,18.662424900214766
S02115725_20070730,16.004495833142375
S05192320_20070731,19.16012325074896
S02115800_20070731,15.402775710514433
S02106430_20070801,15.147606599126991
S02124000_20070801,12.900278229330741
S05214320_20070801,9.585558731441882
S05089090_20070801,17.497984104286004
S05230500_20070801,18.327288459581418
S05109020_20070802,15.911359612922627
S05111000_20070802,17.91772720246007
S02115685_20070802,16.422398683859583
S02115675_20070802,14.191087346983775
S05220920_20070802,15.215367863591684
S05204200_20070802,19.758628897425282
S05206000_20070802,20.044183960087356
S05174000_20070803,14.416119520607172
S05151000_20070803,19.536335359946555
S05200050_20070803,19.320907772302284
S05164000_20070803,10.963039620361613
S02041750_20070804,11.88697801067233
S05165255_20070806,12.88162907243549
S05176000_20070806,14.995109093687885
S05175800_20070806,16.478593796332806
S05145410_20070806,18.944494235765337
S05181600_20070807,19.503878219033734
S05181000_20070807,19.90769000658487
S02032000_20070807,14.428845345002431
S05076000_20070807,10.652340195402623
S05026000_20070807,9.5564145947334
S02017000_20070808,14.655823176177682
S05173150_20070808,19.896413520970153
S05167950_20070809,7.357909001982989
S05167450_20070809,10.908011290569437
S05171900_20070810,19.618687986924684
S05096050_20070811,16.125891124942257
S05158150_20070813,14.446848021385872
S05145300_20070813,19.11370006828465
S05156950_20070814,11.072774343719818
S05159000_20070814,11.543186861275647
S05130000_20070814,13.036445144126407
S05068020_20070814,15.449802060155895
S05093300_20070815,15.47331717904451
S02094920_20070821,15.319715827096186
S05142100_20070823,15.131888425781966
S05135100_20070824,15.37727860761812
S05140000_20070824,18.28502875075707
S05135000_20070824,17.925325468210104
S05132000_20070825,12.931136628278107
S05125000_20070825,15.787740175799385
S05124000_20070825,14.507828773977389
S05131200_20070825,12.17103052578311
S05123000_20070825,11.729990773722676
S05120085_20070825,15.484801079728658
S05122000_20070826,14.230879347454888
S02059500_20070827,12.839155743670172
S05022450_20070828,17.11123410875586
S05015100_20070828,15.067718018657834
S02057000_20070829,12.329314443202744
S02070000_20070829,10.491908942796774
S05013100_20070830,14.963301027202009
S02067400_20070830,13.036996862344445
S05001600_20070830,13.584962197240436
S05000150_20070830,16.048566945175082
S02085325_20070831,9.86978468679369
S02085600_20070831,8.406542467194376
S02079000_20070831,7.759198117887997
S02088000_20070903,9.973843742508269
S05230990_20070903,9.179105982098342
S05223130_20070903,10.614060476054913
S05226030_20070903,13.458585790541454
S05223160_20070903,12.845909510166962
S02110600_20070904,16.065740276668386
S05192305_20070904,18.246074279751348
S05192200_20070904,16.44242230794179
S05227240_20070904,13.63045063922534
S05053100_20070904,17.647400085677134
S05055950_20070905,16.976238241577814
S05090050_20070905,13.737696912720399
S05053000_20070905,14.219130174050118
S05129070_20070907,14.686835273519472
S05042080_20070907,14.406760355219387
S05055940_20070907,17.513133709007043
S05044300_20070907,16.053369859952745
S02001500_20070907,16.73279321860122
S05119065_20070908,15.36036126467692
S05089000_20070908,14.65590165177818
S05088400_20070908,14.592701449310388
S05119080_20070909,16.01573005807403
S02044000_20070910,12.978619898483398
S05056900_20070912,17.08426942848197
S05057150_20070913,20.395607725307144
S05055550_20070914,20.025153857275438
S05055600_20070917,19.869725466012053
S05068850_20070917,19.74499774435447
S05068355_20070927,19.589793524222433
S05055150_20070927,20.973145746829022
