SamplingOperations_code,IBD_EQR_Status
S05235850_20070709,20.84687986246736
S05113000_20070723,8.897086003061354
S05082000_20070724,14.376591528120837
S05111500_20070724,10.767327034823515
S05086000_20070725,14.727391032555966
S05030000_20070725,14.61294387750588
S05025600_20070725,11.169341777683425
S05048000_20070726,15.692823640551484
S05035200_20070726,19.15558258436119
S05077950_20070727,13.204943293218523
S05111620_20070727,15.46285630522326
S05191000_20070727,12.167708696360524
S05153950_20070727,15.72269112944451
S05225100_20070727,13.480364615115153
S05031850_20070728,16.00664748550724
S05041000_20070728,14.31196199781093
S02115660_20070730,18.44225927680203
S02115725_20070730,16.19359277710273
S05192320_20070731,19.276404004199907
S02115800_20070731,15.498425536231661
S02106430_20070801,15.103780122107203
S02124000_20070801,12.821669083733317
S05214320_20070801,9.953113505004424
S05089090_20070801,17.130352567813237
S05230500_20070801,18.4515051217267
S05109020_20070802,15.580046644634617
S05111000_20070802,18.165961375046663
S02115685_20070802,16.137306934204894
S02115675_20070802,13.939858740763562
S05220920_20070802,15.330946578933439
S05204200_20070802,19.49775332846211
S05206000_20070802,20.033348535827532
S05174000_20070803,14.060940874141682
S05151000_20070803,19.674142300954358
S05200050_20070803,19.225735982537714
S05164000_20070803,10.657965780790164
S02041750_20070804,11.600268912795446
S05165255_20070806,12.53202389017293
S05176000_20070806,15.074169171901325
S05175800_20070806,16.27479916584919
S05145410_20070806,18.76411064882038
S05181600_20070807,19.565295960407564
S05181000_20070807,20.250487556178143
S02032000_20070807,14.276103357400324
S05076000_20070807,10.207682810435466
S05026000_20070807,10.338012692242893
S02017000_20070808,14.205169386303783
S05173150_20070808,20.038244014161123
S05167950_20070809,7.091110106018942
S05167450_20070809,10.794765840228713
S05171900_20070810,20.072150961609342
S05096050_20070811,16.416641949349753
S05158150_20070813,14.1608876603491
S05145300_20070813,19.481991833536032
S05156950_20070814,11.204167062972083
S05159000_20070814,11.593768512701427
S05130000_20070814,13.316900772932506
S05068020_20070814,15.21342932777005
S05093300_20070815,15.065630584430199
S02094920_20070821,15.351574409221541
S05142100_20070823,14.638250060921806
S05135100_20070824,15.133843662233726
S05140000_20070824,18.403097510085882
S05135000_20070824,17.967566130885594
S05132000_20070825,12.316685724370705
S05125000_20070825,15.766552372906917
S05124000_20070825,14.56996909278267
S05131200_20070825,12.343320511981123
S05123000_20070825,11.933771908006626
S05120085_20070825,15.522870247895202
S05122000_20070826,14.058842856238941
S02059500_20070827,12.72010507845666
S05022450_20070828,17.14353219242134
